trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2299,False,"{'a': 0.002, 'e': 0.01009212360962496}",25,19,12.875195838344375,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2300,False,"{'a': 0.002, 'e': 0.01007195953320349}",30,3,45.39500025948141,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
2301,False,"{'a': 0.002, 'e': 0.010051835744633576}",25,16,12.925784716641118,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2302,False,"{'a': 0.002, 'e': 0.010031752163420051}",35,22,22.14778683602833,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2303,False,"{'a': 0.002, 'e': 0.010011708709228555}",20,10,20.478933923912926,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2304,False,"{'a': 0.002, 'e': 0.009991705301885246}",25,17,17.49169835681772,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2305,False,"{'a': 0.002, 'e': 0.009971741861376457}",30,4,36.12913733612045,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
2306,False,"{'a': 0.002, 'e': 0.00995181830784842}",30,10,42.01242096769363,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2307,False,"{'a': 0.002, 'e': 0.00993193456160688}",25,11,20.13680377425872,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2308,False,"{'a': 0.002, 'e': 0.009912090543116831}",20,6,21.643665802223023,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2309,False,"{'a': 0.002, 'e': 0.009892286173002172}",25,14,23.737142157279397,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2310,False,"{'a': 0.002, 'e': 0.009872521372045385}",20,6,23.579666200107116,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2311,False,"{'a': 0.002, 'e': 0.009852796061187257}",25,16,15.724086604753492,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2312,False,"{'a': 0.002, 'e': 0.009833110161526512}",25,17,16.080434180649835,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2313,False,"{'a': 0.002, 'e': 0.009813463594319522}",25,14,23.919697128048433,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2314,False,"{'a': 0.002, 'e': 0.009793856280979988}",20,12,15.991089198423236,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2315,False,"{'a': 0.002, 'e': 0.009774288143078643}",20,3,29.63194742670041,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2316,False,"{'a': 0.002, 'e': 0.009754759102342903}",25,5,34.727303162268974,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2317,False,"{'a': 0.002, 'e': 0.00973526908065658}",20,2,31.133104295157125,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2318,False,"{'a': 0.002, 'e': 0.009715818000059549}",25,1,37.68177635122034,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
2319,False,"{'a': 0.002, 'e': 0.009696405782747483}",20,14,9.92255152024363,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2320,False,"{'a': 0.002, 'e': 0.009677032351071476}",20,9,21.643883311675324,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2321,False,"{'a': 0.002, 'e': 0.009657697627537777}",20,1,24.073847510959972,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2322,False,"{'a': 0.002, 'e': 0.009638401534807457}",20,3,30.548154918147024,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2323,False,"{'a': 0.002, 'e': 0.009619143995696133}",25,0,36.30057996368064,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2324,False,"{'a': 0.002, 'e': 0.00959992493317362}",25,4,33.582726725550444,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
2325,False,"{'a': 0.002, 'e': 0.009580744270363638}",20,11,14.799623776767696,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2326,False,"{'a': 0.002, 'e': 0.009561601930543505}",20,10,17.626568215139876,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2327,False,"{'a': 0.002, 'e': 0.00954249783714385}",30,12,37.32636091070993,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2328,False,"{'a': 0.002, 'e': 0.009523431913748267}",20,14,13.043322268321809,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2329,False,"{'a': 0.002, 'e': 0.009504404084093037}",20,16,7.535812838501298,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2330,False,"{'a': 0.002, 'e': 0.009485414272066808}",20,13,13.542960613508455,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2331,False,"{'a': 0.002, 'e': 0.009466462401710323}",30,0,52.63506168150794,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
